ID	name	movies_95_04	main_genre	genres
8932	"Pignon, Nicolas"	10	Drama	Drama:6,Romance:2,Thriller:1,War:1
11572	"Baruc, Siri"	12	Drama	Action:1,Comedy:2,Drama:3,Horror:1,NULL:1,Romance:2,Sci-Fi:1,Thriller:1
15474	"Berling, Charles"	32	Drama	Comedy:1,Documentary:2,Drama:11,Musical:1,NULL:4,Romance:7,Short:1,Thriller:5
174	"Xtacee"	28	Adult	Adult:22,Fantasy:1,NULL:4,Short:1
17542	"Roja"	13	Drama	Drama:2,Family:1,Fantasy:1,Musical:1,NULL:7,War:1
14548	"Gorgulho, Paulo"	11	Comedy	Comedy:1,Family:1,NULL:7,Romance:1,War:1
14735	"Fleiss, Jordan"	11		NULL:11
14895	"Mendez, Misty"	13	Adult	Adult:13
2682	"Sisqó"	18	Music	Comedy:1,Documentary:5,Family:1,Music:11
13448	"Atterton, Edward"	11	Drama	Comedy:2,Drama:4,Fantasy:1,Mystery:1,NULL:2,Sci-Fi:1
10548	"Montero, Ivonne"	13	Romance	Comedy:1,Family:1,Music:1,NULL:2,Romance:7,Thriller:1
3788	"Phillips, Dino"	11	Adult	Adult:7,NULL:3,Romance:1
13139	"Paul, Christian"	15	Thriller	Comedy:1,Drama:2,NULL:2,Romance:2,Sci-Fi:1,Short:2,Thriller:5
4181	"Fong, Henry (II)"	13	Romance	Action:2,Comedy:2,NULL:5,Romance:2,Thriller:2
13388	"Joachim, Suzy"	12	Thriller	Action:1,Comedy:2,Drama:3,Thriller:6
9201	"Lescot, Jean"	13	Drama	Drama:3,NULL:7,Romance:1,Short:2
16017	"Stojkovic, Danilo &apos;Bata&apos;"	17	Drama	Documentary:5,Drama:10,NULL:2
17384	"Takeuchi, Riki"	21	Crime	Action:2,Crime:4,Drama:2,Fantasy:1,Mystery:1,NULL:9,Sci-Fi:2
12592	"Collins, Paul (I)"	10	Drama	Comedy:3,Drama:3,Sci-Fi:2,Thriller:2
11594	"Norris, Dean"	19	Drama	Action:3,Comedy:1,Crime:2,Drama:5,Horror:1,NULL:2,Sci-Fi:1,Thriller:4
15276	"Heinle, Amelia"	13	Drama	Crime:1,Documentary:2,Drama:3,Mystery:1,NULL:2,Romance:1,Short:1,Thriller:2
16971	"Koyuki"	11	Romance	Drama:2,Horror:1,NULL:3,Romance:4,War:1
4315	"McAfee, Anndi"	16	Fantasy	Adventure:1,Animation:1,Comedy:1,Drama:2,Family:3,Fantasy:5,Horror:1,Sci-Fi:2
14601	"Jensen, Beate"	11	Crime	Crime:3,Documentary:1,Drama:2,NULL:2,Romance:1,Thriller:2
